Item,Amount,Amount,Store,Unit Price (USD),Shipping (USD),Tax (USD),Total (USD),Unit Price (CAD),Shipping (CAD),Tax (CAD),Total (CAD),Link
MBK Low Profile PBT Blank Keycaps Ocean,6 (packs of 10),6,Lowprokb,$4.38,$7.30,$4.36,$37.94,$6.00,$10.00,$5.98,$51.98,link
Kailh Choc V1 Low Profile Switches Red,,,Aliexpress,$21.01,$5.32,$0.00,$62.45,$28.79,$7.29,$0.00,$85.60,link
Kailh Choc Hot Swap Sockets CPG135001S30,,,,$14.52,,,,$19.89,,,,link
Microcontroller (Seeed XIAO nRF52840 BLE),,,,$21.59,,,,$29.58,,,,link
"Diodes (1N4148, SOD-123 Surface Mount)",52,52,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,$0.00,,,,,,,
"Resistor R3 (806k Ω, SMD)",2,2,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,,,,,,,,
"Resistor R4 (2M Ω, SMD)",2,2,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,,,,,,,,
,,,,,,,$100.39,,,,$137.58,
,,,,,,,,,,,,
,,,"Consider Possible Exchange Rate Difference, Produce Price Change, Request for:
Extras will be returned to HackClub",,,,$101.00,USD,,,,